,cell_0_M_0,cell_0_AHL_0,cell_0_S_0,cell_0_Sens_0,cell_0_Sens_1,cell_1_M_0,cell_1_AHL_0,cell_1_S_0,cell_1_Sens_0,cell_1_Sens_1,cell_2_M_0,cell_2_AHL_0,cell_2_S_0,cell_2_Sens_0,cell_2_Sens_1
0,0,1,glu,mccV,mccB,0,1,glu,mccV,,1,1,glu,mccV,mccB
1,0,1,glu,mccV,mccB,0,1,glu,mccV,,1,1,glu,mccV,
2,0,1,glu,mccV,mccB,0,1,glu,mccV,,1,1,glu,mccB,
3,0,1,glu,mccV,mccB,0,1,glu,mccV,,1,1,glu,,
4,0,1,glu,mccV,mccB,0,1,glu,mccV,,1,,glu,mccV,mccB
5,0,1,glu,mccV,mccB,0,1,glu,mccV,,1,,glu,mccV,
6,0,1,glu,mccV,mccB,0,1,glu,mccV,,1,,glu,mccB,
7,0,1,glu,mccV,mccB,0,1,glu,mccV,,1,,glu,,
8,0,1,glu,mccV,mccB,0,1,glu,mccV,,3,2,glu,mccV,mccB
9,0,1,glu,mccV,mccB,0,1,glu,mccV,,3,2,glu,mccV,
10,0,1,glu,mccV,mccB,0,1,glu,mccV,,3,2,glu,mccB,
11,0,1,glu,mccV,mccB,0,1,glu,mccV,,3,2,glu,,
12,0,1,glu,mccV,mccB,0,1,glu,mccB,,1,1,glu,mccV,mccB
13,0,1,glu,mccV,mccB,0,1,glu,mccB,,1,1,glu,mccV,
14,0,1,glu,mccV,mccB,0,1,glu,mccB,,1,1,glu,mccB,
15,0,1,glu,mccV,mccB,0,1,glu,mccB,,1,1,glu,,
16,0,1,glu,mccV,mccB,0,1,glu,mccB,,1,,glu,mccV,mccB
17,0,1,glu,mccV,mccB,0,1,glu,mccB,,1,,glu,mccV,
18,0,1,glu,mccV,mccB,0,1,glu,mccB,,1,,glu,mccB,
19,0,1,glu,mccV,mccB,0,1,glu,mccB,,1,,glu,,
20,0,1,glu,mccV,mccB,0,1,glu,mccB,,3,2,glu,mccV,mccB
21,0,1,glu,mccV,mccB,0,1,glu,mccB,,3,2,glu,mccV,
22,0,1,glu,mccV,mccB,0,1,glu,mccB,,3,2,glu,mccB,
