,cell_0_M_0,cell_0_AHL_0,cell_0_S_0,cell_0_Sens_0,cell_0_Sens_1,cell_1_M_0,cell_1_AHL_0,cell_1_S_0,cell_1_Sens_0,cell_1_Sens_1
0,0,1,glu,mccB,mccV,1,1,glu,mccB,mccV
1,0,1,glu,mccB,mccV,1,1,glu,mccB,
2,0,1,glu,mccB,mccV,1,1,glu,mccV,
3,0,1,glu,mccB,mccV,1,1,glu,,
4,0,1,glu,mccB,mccV,1,,glu,mccB,mccV
5,0,1,glu,mccB,mccV,1,,glu,mccB,
6,0,1,glu,mccB,mccV,1,,glu,mccV,
7,0,1,glu,mccB,mccV,1,,glu,,
8,0,1,glu,mccB,mccV,3,2,glu,mccB,mccV
9,0,1,glu,mccB,mccV,3,2,glu,mccB,
10,0,1,glu,mccB,mccV,3,2,glu,mccV,
11,0,1,glu,mccB,mccV,3,2,glu,,
12,0,1,glu,mccB,,1,1,glu,mccB,mccV
13,0,1,glu,mccB,,1,1,glu,mccV,
14,0,1,glu,mccB,,1,,glu,mccB,mccV
15,0,1,glu,mccB,,1,,glu,mccV,
16,0,1,glu,mccB,,3,2,glu,mccB,mccV
17,0,1,glu,mccB,,3,2,glu,mccV,
18,0,1,glu,mccV,,0,1,glu,,
19,0,1,glu,mccV,,0,,glu,mccV,
20,0,1,glu,mccV,,0,,glu,,
21,0,1,glu,mccV,,1,1,glu,mccB,mccV
22,0,1,glu,mccV,,1,1,glu,mccB,
23,0,1,glu,mccV,,1,,glu,mccB,mccV
24,0,1,glu,mccV,,1,,glu,mccB,
25,0,1,glu,mccV,,3,2,glu,mccB,mccV
26,0,1,glu,mccV,,3,2,glu,mccB,
27,0,1,glu,mccV,,,1,glu,mccV,
28,0,1,glu,mccV,,,1,glu,,
29,0,1,glu,mccV,,,,glu,mccV,
30,0,1,glu,mccV,,,,glu,,
31,0,1,glu,,,0,,glu,mccV,
32,0,1,glu,,,1,1,glu,mccB,mccV
33,0,1,glu,,,1,,glu,mccB,mccV
34,0,1,glu,,,2,2,glu,mccV,
35,0,1,glu,,,,1,glu,mccV,
36,0,1,glu,,,,,glu,mccV,
37,0,,glu,mccB,mccV,1,1,glu,mccB,mccV
38,0,,glu,mccB,mccV,1,1,glu,mccB,
39,0,,glu,mccB,mccV,1,1,glu,mccV,
40,0,,glu,mccB,mccV,1,1,glu,,
41,0,,glu,mccB,,1,1,glu,mccB,mccV
42,0,,glu,mccB,,1,1,glu,mccV,
43,0,,glu,mccV,,1,1,glu,mccB,mccV
44,0,,glu,mccV,,1,1,glu,mccB,
45,0,,glu,mccV,,,1,glu,mccV,
46,0,,glu,mccV,,,1,glu,,
47,0,,glu,,,1,1,glu,mccB,mccV
48,0,,glu,,,,1,glu,mccV,
